country_code,country,year,value
DEU,Germany,2011,3.75796884489337
DEU,Germany,2012,0.463512036709204
DEU,Germany,2013,0.396995583779145
DEU,Germany,2014,2.18018602168017
DEU,Germany,2015,1.66300602334775
DEU,Germany,2016,2.22222216259371
DEU,Germany,2017,2.797906720551
DEU,Germany,2018,1.13569604599849
DEU,Germany,2019,0.977734697038784
DEU,Germany,2020,-4.13191443239947
DEU,Germany,2021,3.90999994204108
DEU,Germany,2022,1.8092581243061
DEU,Germany,2023,-0.869647578573321
DEU,Germany,2024,-0.495851897260366
DEU,Germany,2025,0.239578342117881
FRA,France,2000,4.14099996402915
FRA,France,2001,1.89946701186636
FRA,France,2002,1.06775027069419
FRA,France,2003,0.967827182558352
FRA,France,2004,2.86825052501032
FRA,France,2005,1.88856584109286
FRA,France,2006,2.71406448755236
FRA,France,2007,2.53048188351066
FRA,France,2008,0.380171435849121
FRA,France,2009,-2.82455153714783
FRA,France,2010,2.00032476039051
FRA,France,2011,2.43757653729007
FRA,France,2012,0.183835264973013
FRA,France,2013,0.781756446231
FRA,France,2014,0.997832947295251
FRA,France,2015,1.06675474783462
FRA,France,2016,0.860031075424033
FRA,France,2017,2.08361485997399
FRA,France,2018,1.64590872395887
FRA,France,2019,2.02744646419237
FRA,France,2020,-7.44064589948231
FRA,France,2021,6.88233783360239
FRA,France,2022,2.71676264185913
FRA,France,2023,1.43921494437743
FRA,France,2024,1.19046798275883
FRA,France,2025,0.840949955479587
GBR,United Kingdom,2000,4.52438074810904
GBR,United Kingdom,2001,2.39102229602824
GBR,United Kingdom,2002,1.70902736258567
GBR,United Kingdom,2003,3.21851612669614
GBR,United Kingdom,2004,2.32601853325993
GBR,United Kingdom,2005,2.7906547174688
GBR,United Kingdom,2006,2.18982132415704
GBR,United Kingdom,2007,2.93091133582351
GBR,United Kingdom,2008,-0.0494116727402769
GBR,United Kingdom,2009,-4.58740819226323
GBR,United Kingdom,2010,2.26054460931586
GBR,United Kingdom,2011,0.851437739020326
GBR,United Kingdom,2012,1.52826034721852
GBR,United Kingdom,2013,1.71846961308464
GBR,United Kingdom,2014,3.16017351468152
GBR,United Kingdom,2015,2.14040560033371
GBR,United Kingdom,2016,2.20652020635357
GBR,United Kingdom,2017,3.02322219840339
GBR,United Kingdom,2018,1.55133095078786
GBR,United Kingdom,2019,1.25629899760824
GBR,United Kingdom,2020,-10.047896637362
GBR,United Kingdom,2021,8.5431118453255
GBR,United Kingdom,2022,5.14970388522993
GBR,United Kingdom,2023,0.271650048355255
GBR,United Kingdom,2024,1.08027716858781
GBR,United Kingdom,2025,1.38844207858726
IND,India,2000,3.84099115686554
IND,India,2001,4.82396626397303
IND,India,2002,3.80397532120038
IND,India,2003,7.86038147545045
IND,India,2004,7.92293661307978
IND,India,2005,7.92343062131789
IND,India,2006,8.06073257305057
IND,India,2007,7.66081506510766
IND,India,2008,3.08669805950082
IND,India,2009,7.8618888330338
IND,India,2010,8.49758470165625
IND,India,2011,5.24131620024293
IND,India,2012,5.45638755164772
IND,India,2013,6.38610640091713
IND,India,2014,7.41022760516977
IND,India,2015,7.99625378567987
IND,India,2016,8.25630550176662
IND,India,2017,6.79538341902422
IND,India,2018,6.45385134495295
IND,India,2019,3.87143694070524
IND,India,2020,-5.77772470687303
IND,India,2021,9.68959249191741
IND,India,2022,7.6093649776932
IND,India,2023,7.210224629335
IND,India,2024,7.09927893176518
IND,India,2025,7.56666179284244
JPN,Japan,2000,2.97832688768516
JPN,Japan,2001,0.284608556379041
JPN,Japan,2002,0.0849888050363319
JPN,Japan,2003,1.38010935830795
JPN,Japan,2004,2.11294823723127
JPN,Japan,2005,1.8482813374834
JPN,Japan,2006,1.54630843078741
JPN,Japan,2007,1.72837912865577
JPN,Japan,2008,-1.16662209355141
JPN,Japan,2009,-5.9359411383964
JPN,Japan,2010,4.13645589222239
JPN,Japan,2011,-0.20035785332982
JPN,Japan,2012,1.64893452981225
JPN,Japan,2013,1.99727653399265
JPN,Japan,2014,0.905915486065865
JPN,Japan,2015,1.79997735783475
JPN,Japan,2016,0.704986495111257
JPN,Japan,2017,1.62345062245441
JPN,Japan,2018,0.834143845965585
JPN,Japan,2019,-0.308496921143259
JPN,Japan,2020,-4.28327942675573
JPN,Japan,2021,3.56419531474475
JPN,Japan,2022,1.33164750653741
JPN,Japan,2023,0.720785304749811
JPN,Japan,2024,-0.240084236041696
JPN,Japan,2025,1.19311288444599
KOR,"Korea, Rep.",2000,9.2018583880479
KOR,"Korea, Rep.",2001,4.72593560322356
KOR,"Korea, Rep.",2002,7.74399895319569
KOR,"Korea, Rep.",2003,3.07472661826947
KOR,"Korea, Rep.",2004,5.1836368597334
KOR,"Korea, Rep.",2005,4.35823667337156
KOR,"Korea, Rep.",2006,5.24500550580342
KOR,"Korea, Rep.",2007,5.8419633918717
KOR,"Korea, Rep.",2008,3.00440451679569
KOR,"Korea, Rep.",2009,0.81986175641795
KOR,"Korea, Rep.",2010,6.98166138853071
KOR,"Korea, Rep.",2011,3.6880320602952
KOR,"Korea, Rep.",2012,2.54766550568242
KOR,"Korea, Rep.",2013,3.2913959543442
KOR,"Korea, Rep.",2014,3.21468019683108
KOR,"Korea, Rep.",2015,2.92029267301234
KOR,"Korea, Rep.",2016,3.17152748983935
KOR,"Korea, Rep.",2017,3.433191763972
KOR,"Korea, Rep.",2018,3.17611568177327
KOR,"Korea, Rep.",2019,2.31380210595475
KOR,"Korea, Rep.",2020,-0.700242317542106
KOR,"Korea, Rep.",2021,4.61296795454287
KOR,"Korea, Rep.",2022,2.72756456708991
KOR,"Korea, Rep.",2023,1.58301467403629
KOR,"Korea, Rep.",2024,2.00361101838986
KOR,"Korea, Rep.",2025,1.00701840291242
SAU,Saudi Arabia,2000,4.71813422138024
SAU,Saudi Arabia,2001,0.344593196175438
SAU,Saudi Arabia,2002,-0.688390130317757
SAU,Saudi Arabia,2003,8.76873381743964
SAU,Saudi Arabia,2004,8.63100545880309
SAU,Saudi Arabia,2005,5.94489623934835
SAU,Saudi Arabia,2006,3.31348473625901
SAU,Saudi Arabia,2007,2.21365396372528
SAU,Saudi Arabia,2008,6.2379875365458
SAU,Saudi Arabia,2009,-1.06671711240203
